id,code,name,parent_id/id,type,user_type/id,reconcile
CMO,CMO,Chart of Account – CMO,,View,account.data_account_account_type_root_view,FALSE
BS,BS,Statement of Financial Position,CMO,View,account.data_account_account_type_view,FALSE
10,10,สินทรัพย์,BS,View,account.data_account_account_type_view,FALSE
110,110,สินทรัพย์หมุนเวียน,10,View,account.data_account_account_type_view,FALSE
120,120,สินทรัพย์ไม่หมุนเวียน,10,View,account.data_account_account_type_view,FALSE
111,111,เงินสดและรายการเทียบเท่าเงินสด,110,View,account.data_account_account_type_view,FALSE
112,112,ลูกหนี้การค้า,110,View,account.data_account_account_type_view,FALSE
113,113,สินทรัพย์หมุนเวียนอื่น,110,View,account.data_account_account_type_view,FALSE
1102,1102,เงินสดย่อย,111,Liquidity,account.data_account_account_type_asset,FALSE
1103,1103,ธ.กรุงเทพ กระแสรายวัน # 203-302438-7สาขาลาดพร้าว 44,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-02,1103-02,ธนารคารกรุงเทพกระแสรายวัน #203-3-04471-6,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-03,1103-03,ธนาคารกรุงเทพ - กระแสรายวัน # 2033048881,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-05,1103-05,ธ.กรุงเทพฯกระแสรายวัน- แจ้งวัฒนะ#233-3-018147,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-06,1103-06,ธ.กรุงเทพ กระแสรายวัน ลาดพร้าว44#203-3-05135-6,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-07,1103-07,ธ.กรุงเทพ -C/A สาขา ไซเบอร์เวิร์ดทาวน์# 019-3-500139,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-08,1103-08,ธ.กรุงเทพ C/A- ไซเบอร์เวิลด์ <IFS>#0193500733,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-09,1103-09,ธ.ยูโอบี - C/A (ถนนศรีวรา) #797-363-031-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-10,1103-10,ธ.กรุงไทย C/A (สาขาอโศก) # 0156057999,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-11,1103-11,ธ.กรุงเทพ - C/A (เกษตร นวมินทร์) #039-3-50352-9,111,Liquidity,account.data_account_account_type_asset,FALSE
1103-12,1103-12,ธ.ทหารไทย C/A (สาขาเดอะคริสตัล พาร์ค)#258-1-00239-7,111,Liquidity,account.data_account_account_type_asset,FALSE
1104,1104,ธ.กรุงเทพ - สะสมทรัพย์# 2030281832-สาขาลาดพร้าว 44,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-02,1104-02,ธนาคารกรุงเทพฝากประจำ #2032100170,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-03,1104-03,ธนาคารเอเชียสะสมทรัพย์ # 097-2-12561-0,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-04,1104-04,ธนาคารกรุงเทพสะสมทรัพย์ #203-077022-2,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-05,1104-05,ธ.กรุงเทพ- S/V สาขา ไซเบอร์เวิร์ดทาวน์# 019-7-00949-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-06,1104-06,ธ.กรุงเทพ- S/V สาขาลาดพร้าว 44 # 203-418575-7,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-07,1104-07,ธ.เพื่อการเกษตร&สหกรณ์(ธกส) -S/V(ลาดพร้าว101) # 020022321694,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-08,1104-08,ธนาคารยูโอบี - S/V(ถนนศรีวรา) #797-163-468-9,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-09,1104-09,ธ.กรุงเทพ S/A (เกษตร นวมินทร์) #039-7-06852-9,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-10,1104-10,ธ.ทหารไทย S/A (เดอะคริสตัล พาร์ค) #258-2-05074-2,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-12,1104-12,ธ.กรุงเทพ S/A (สาขา เกษตร- นวมินทร์) # 039-7-08524-2,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-13,1104-13,ธนาคารยูโอบี - S/V(ถนนศรีวรา) #797-164-156-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1105,1105,ธ.กรุงศรีอยุธยา-กระแสรายวัน #001-0-11603-5-สาขาเพลินจิต,111,Liquidity,account.data_account_account_type_asset,FALSE
1105-1,1105-1,ธนาคารกรุงศรีอยุธยา - ค่าบริจาค # 169-001883-6,111,Liquidity,account.data_account_account_type_asset,FALSE
1105-2,1105-2,ธนาคารกรุงศรีอยุธยา - ค่าลงทะเบียน # 169-001885-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1106,1106,ธ.กรุงศรีอยุธยา - สะสมทรัพย์,111,Liquidity,account.data_account_account_type_asset,FALSE
1106-1,1106-1,ธนาคารกรุงศรีอยุธยา - ค่าบริจาค # 169-147181-5,111,Liquidity,account.data_account_account_type_asset,FALSE
1106-2,1106-2,ธนาคากรุงศรีอยุธยา - ค่าลงทะเบียน # 169-147180-7,111,Liquidity,account.data_account_account_type_asset,FALSE
1107,1107,เงินฝากธนาคารอื่นๆ,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-1,1107-1,ธ.นครหลวงไทย-ออมทรัพย # 001-2-88566-0-สาขาสำนักเพชรบุรี,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-2,1107-2,ธ.ไทยธนาคาร-กระแสรายวัน #021-3-02546-7-สำนักลาดพร้าว(2109),111,Liquidity,account.data_account_account_type_asset,FALSE
1107-3,1107-3,ธ.ธนชาต-ออมทรัพย์-สาขาย่อยเดอะมอลล์ 2 รามคำแหง#0262004060,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-4,1107-4,ธ.ธนชาต-กระแสรายวัน-สาขาย่อยเดอะมอลล์ 2 รามคำแหง#0263000190,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-5,1107-5,ธนาคารทหารไทย - รามคำแหง 184-2-03606-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-6,1107-6,ธนาคารทหารไทย -เงินบริจาคสร้างใบไม้ต้นบรมโพธิฯ-184-2-03607-9,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-7,1107-7,ธ.EXIM BANK-กระแสรายวัน # 001-1-02553-7,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-8,1107-8,ธ.ไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน)-ฝากประจำ777-3-00573-1,111,Liquidity,account.data_account_account_type_asset,FALSE
1107-9,1107-9,ธ.สินเอเชีย จำกัด (มหาชน) -(กระแสรายวัน),111,Liquidity,account.data_account_account_type_asset,FALSE
1107-9-1,1107-9-1,ธ.สินเอเชีย จำกัด ( มหาชน) - เงินฝากติดภาระค้ำประกัน,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-01,1104-01,ธ.กรุงเทพ- ฝากประจำ 3 เดือน# 2032092666,111,Liquidity,account.data_account_account_type_asset,FALSE
1104-11,1104-11,ธ.กรุงไทย S/A ( สาขาปทุมวัน) # 008-0-25818-2,111,Liquidity,account.data_account_account_type_asset,FALSE
1108,1108,เช็คค้างรับ,113,Regular,account.data_account_account_type_asset,FALSE
1109-0001,1109-0001,ลูกหนี้การค้า - PM,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0002,1109-0002,ลูกหนี้การค้า - The Eyes,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0003,1109-0003,ลูกหนี้การค้า- Exposition Technology,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0004,1109-0004,กิจการร่วมค้า ดรีม บอกซ์ และ ซีเอ็ม ออร์กาไนเซอร์,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0005,1109-0005,ลูกหนี้การค้า - JV CMO - TEE ENTAINMENT,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0006,1109-0006,ลูกหนี้การค้า - Thoth Media,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0007,1109-0007,ลูกหนี้การค้า - JV CMO - BELINK,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0008,1109-0008,ลูกหนี้การค้า - Momentum S,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0009,1109-0009,ลูกหนี้การค้า - Muse Corporation,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0010,1109-0010,ลูกหนี้การค้า - Setup Solution,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0011,1109-0011,ลูกหนี้การค้า - CMO T1 Asia Corporation,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0012,1109-0012,ลูกหนี้การค้า - CMO Show Corp,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-0013,1109-0013,ลูกหนี้การค้า - IMAGINIA,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-OTH,1109-OTH,ลูกหนี้การค้าอื่น,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-Unbill,1109-Unbill,ลูกหนี้การค้า - ยังไม่มีInv.,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-X001,1109-X001,ค่าเผื่อหนี้สงสัยจะสูญ,112,Receivable,account.data_account_account_type_receivable,TRUE
1109-X002,1109-X002,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้บริษัทในเครือ,112,Receivable,account.data_account_account_type_receivable,TRUE
1110,1110,ลูกหนี้อื่น,113,Regular,account.data_account_account_type_asset,FALSE
1110-1,1110-1,ลูกหนี้อื้น - บริษัทในเครือ,113,Regular,account.data_account_account_type_asset,FALSE
1110-2,1110-2,ลูกหนี้อื่น - กรมวิชาการเกษตร,113,Regular,account.data_account_account_type_asset,FALSE
1110-3,1110-3,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้อื่นบริษัทในเครือ,113,Regular,account.data_account_account_type_asset,FALSE
1111,1111,ลูกหนี้เงินกู้ยืมบริษัทในเครือ,113,Regular,account.data_account_account_type_asset,FALSE
1111-1,1111-1,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้เงินกู้บริษัทในเครือ,113,Regular,account.data_account_account_type_asset,FALSE
1112,1112,ลูกหนี้เงินยืมพนักงาน,113,Regular,account.data_account_account_type_asset,FALSE
1113,1113,เงินทดรองจ่ายล่วงหน้า- Employee,113,Regular,account.data_account_account_type_asset,FALSE
1113-1,1113-1,เงินล่วงหน้า - ทีมExhibition,113,Regular,account.data_account_account_type_asset,FALSE
1113-2,1113-2,เงินล่วงหน้า - Bayon CM,113,Regular,account.data_account_account_type_asset,FALSE
1113-3,1113-3,ค่าเผื่อหนี้สงสัยจะสูญ - เงินล่วงหน้าพนักงาน,113,Regular,account.data_account_account_type_asset,FALSE
1114,1114,ลูกหนี้กรมสรรพากร,113,Regular,account.data_account_account_type_asset,FALSE
114,114,งานระหว่างทำและวัสดุคงเหลือ,110,View,account.data_account_account_type_view,FALSE
1115,1115,สินค้าคงเหลือ,114,Regular,account.data_account_account_type_asset,FALSE
1116-01,1116-01,ต้นทุนงานระหว่างทำ - ค่าตกแต่ง,114,Regular,account.data_account_account_type_asset,FALSE
1116-03,1116-03,ต้นทุนงานระหว่างทำ - ค่าบริการเช่าอุปกรณ์,114,Regular,account.data_account_account_type_asset,FALSE
1116-04,1116-04,ต้นทุนงานระหว่างทำ - ค่าจัดการแสดง,114,Regular,account.data_account_account_type_asset,FALSE
1116-05,1116-05,ต้นทุนงานระหว่างทำ - ค่าจัดการแสดงเสียง,114,Regular,account.data_account_account_type_asset,FALSE
1116-06,1116-06,ต้นทุนงานระหว่างทำ - ค่าใช้จ่ายในการดำเนินงาน,114,Regular,account.data_account_account_type_asset,FALSE
1116-09,1116-09,ต้นทุนงานระหว่างทำ - ค่าจัดทำซาวน์โปรดักส์ชั่น,114,Regular,account.data_account_account_type_asset,FALSE
1116-12,1116-12,ต้นทุนงานระหว่างทำ - ค่าบริการอื่น ๆ,114,Regular,account.data_account_account_type_asset,FALSE
1116-13,1116-13,ต้นทุนงานระหว่างทำ - ค่าประสานงาน,114,Regular,account.data_account_account_type_asset,FALSE
1116-14,1116-14,ต้นทุนงานระหว่างทำ - ค่าพาหนะ,114,Regular,account.data_account_account_type_asset,FALSE
1116-14-1,1116-14-1,ต้นทุนงานระหว่างทำ - ค่า TAXI,114,Regular,account.data_account_account_type_asset,FALSE
1116-14-2,1116-14-2,ต้นทุนงานระหว่างทำ - ค่าทางด่วน,114,Regular,account.data_account_account_type_asset,FALSE
1116-14-3,1116-14-3,ต้นทุนงานระหว่างทำ - ค่าตั๋วเครื่องบิน,114,Regular,account.data_account_account_type_asset,FALSE
1116-15,1116-15,ต้นทุนงานระหว่างทำ - ค่าถ่ายภาพ,114,Regular,account.data_account_account_type_asset,FALSE
1116-16,1116-16,ต้นทุนงานระหว่างทำ - ค่าจ้าง Staff,114,Regular,account.data_account_account_type_asset,FALSE
1116-19,1116-19,ต้นทุนงานระหว่างทำ - ค่าอาหารเครื่องดื่ม,114,Regular,account.data_account_account_type_asset,FALSE
1116-21,1116-21,ต้นทุนงานระหว่างทำ - Multimedia Presentation,114,Regular,account.data_account_account_type_asset,FALSE
1116-23,1116-23,ต้นทุนงานระหว่างทำ - ค่าเช่าสถานที่,114,Regular,account.data_account_account_type_asset,FALSE
1116-24,1116-24,ต้นทุนงานระหว่างทำ - โฆษณาประชาสัมพันธ์(ยกเลิก),114,Regular,account.data_account_account_type_asset,FALSE
1116-25,1116-25,ต้นทุนงานระหว่างทำ - ค่าเช่า Walkie - Talkie,114,Regular,account.data_account_account_type_asset,FALSE
1116-26,1116-26,ต้นทุนงานระหว่างทำ - ค่าเช่าเครื่องปั่นไฟ,114,Regular,account.data_account_account_type_asset,FALSE
1116-31,1116-31,ต้นทุนงานระหว่างทำ - Printing,114,Regular,account.data_account_account_type_asset,FALSE
1116-32,1116-32,ต้นทุนงานระหว่างทำ - Graphic & Inkjet,114,Regular,account.data_account_account_type_asset,FALSE
1116-33,1116-33,ต้นทุนงานระหว่างทำ - Accommodations,114,Regular,account.data_account_account_type_asset,FALSE
1116-34,1116-34,ต้นทุนงานระหว่างทำ - ค่าขนส่ง,114,Regular,account.data_account_account_type_asset,FALSE
1116-36,1116-36,ต้นทุนงานระหว่างทำ - ค่าบริการเกี่ยวกับไฟฟ้า,114,Regular,account.data_account_account_type_asset,FALSE
1116-37,1116-37,ต้นทุนงานระหว่างทำ - ค่าโฆษณาประชาสัมพันธ์,114,Regular,account.data_account_account_type_asset,FALSE
1116-38,1116-38,ต้นทุนงานระหว่างทำ - ภาษีซื้อไม่ขอคืน(5034-1),114,Regular,account.data_account_account_type_asset,FALSE
1116-39,1116-39,ต้นทุนงานระหว่างทำ - ภาษีซื้อไม่ขอคืน(5034-2),114,Regular,account.data_account_account_type_asset,FALSE
1117,1117,วัสดุ-แว่นสามมิติ,114,Regular,account.data_account_account_type_asset,FALSE
1118,1118,วัสดุ-เม้าท์เวส,114,Regular,account.data_account_account_type_asset,FALSE
1119,1119,วัสดุ-สไลด์เทรย์,114,Regular,account.data_account_account_type_asset,FALSE
1120,1120,วัสดุ-ฟิล์ม,114,Regular,account.data_account_account_type_asset,FALSE
